position,song,artist
1,PINK PONY CLUB,CHAPPELL ROAN
2,NOT LIKE US,KENDRICK LAMAR
3,ORDINARY,ALEX WARREN
4,BEAUTIFUL THINGS,BENSON BOONE
5,SPORTS CAR,TATE MCRAE
6,ABRACADABRA,LADY GAGA
7,MESSY,LOLA YOUNG
8,NICE TO MEET YOU,MYLES SMITH
9,REVOLVING DOOR,TATE MCRAE
10,BAD DREAMS,TEDDY SWIMS
11,LUTHER,KENDRICK LAMAR & SZA
12,BUSY WOMAN,SABRINA CARPENTER
13,APT,ROSE & BRUNO MARS
14,ALL THE STARS,KENDRICK LAMAR & SZA
15,A N X I E T Y,SLEEPY HALLOW FT DOECHII
16,PEOPLE WATCHING,SAM FENDER
17,DENIAL IS A RIVER,DOECHII
18,PLEASE PLEASE PLEASE,SABRINA CARPENTER
19,BED CHEM,SABRINA CARPENTER
20,NOKIA,DRAKE
21,THAT'S SO TRUE,GRACIE ABRAMS
22,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
23,WHO,JIMIN
24,GUESS,CHARLI XCX FT BILLIE EILISH
25,ARM'S LENGTH,SAM FENDER
26,THE DAYS,CHRYSTAL
27,WILDFLOWER,BILLIE EILISH
28,CARRY YOU HOME,ALEX WARREN
29,GOOD LUCK BABE,CHAPPELL ROAN
30,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
31,BIRDS OF A FEATHER,BILLIE EILISH
32,LOSE CONTROL,TEDDY SWIMS
33,HEADLOCK,IMOGEN HEAP
34,RAVING IN THE STUDIO,AITCH & BOU
35,IT'S OK I'M OK,TATE MCRAE
36,IT ISN'T PERFECT BUT IT MIGHT BE,OLIVIA DEAN
37,BURNING DOWN,ALEX WARREN
38,LOVE ME NOT,RAVYN LENAE
39,CRUSH,AJ TRACEY & JORJA SMITH
40,SAILOR SONG,GIGI PEREZ
