position,song,artist
1,REIN ME IN,SAM FENDER & OLIVIA DEAN
2,DROP DEAD,OLIVIA RODRIGO
3,BEAUTY AND A BEAT,JUSTIN BIEBER FT NICKI MINAJ
4,DRACULA,TAME IMPALA
5,FEVER DREAM,ALEX WARREN
6,DAISIES,JUSTIN BIEBER
7,HOMEWRECKER,SOMBR
8,LUSH LIFE,ZARA LARSSON
9,MAN I NEED,OLIVIA DEAN
10,BABYDOLL,DOMINIC FIKE
11,WHITE KEYS,DOMINIC FIKE
12,DOORS,NOAH KAHAN
13,BILLIE JEAN,MICHAEL JACKSON
14,AMERICAN GIRLS,HARRY STYLES
15,JUST THE WAY YOU ARE,MILKY
16,CHOOSIN' TEXAS,ELLA LANGLEY
17,THE GREAT DIVIDE,NOAH KAHAN
18,ILOVEITILOVEITILOVEIT,BELLA KAY
19,MIDNIGHT SUN,ZARA LARSSON
20,PORCH LIGHT,NOAH KAHAN
21,ORDINARY,ALEX WARREN
22,BEAT IT,MICHAEL JACKSON
23,DON'T STOP 'TIL YOU GET ENOUGH,MICHAEL JACKSON
24,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
25,WHERE IS MY HUSBAND,RAYE
26,RAINDANCE,DAVE/TEMS
27,YUKON,JUSTIN BIEBER
28,HOUSE TOUR,SABRINA CARPENTER
29,TALK TO YOU,ANOTR/54 ULTRA
30,EARRINGS,MALCOLM TODD
31,BABY STEPS,OLIVIA DEAN
32,FREE YOUR MIND,PROSPA/CLOONEE
33,STATESIDE,PINKPANTHERESS
34,(WHEN YOU GONNA) GIVE IT UP TO ME,SEAN PAUL FT KEYSHIA COLE
35,POTENTIAL,SOMBR
36,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
37,THE VISITOR,SIENNA SPIRO
38,THE FATE OF OPHELIA,TAYLOR SWIFT
39,12 TO 12,SOMBR
40,I JUST MIGHT,BRUNO MARS
