position,song,artist
1,REIN ME IN,SAM FENDER & OLIVIA DEAN
2,SWIM,BTS
3,ILOVEITILOVEITILOVEIT,BELLA KAY
4,AMERICAN GIRLS,HARRY STYLES
5,STATESIDE,PINKPANTHERESS
6,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
7,FEVER DREAM,ALEX WARREN
8,HOMEWRECKER,SOMBR
9,MAN I NEED,OLIVIA DEAN
10,LUSH LIFE,ZARA LARSSON
11,BABYDOLL,DOMINIC FIKE
12,DRACULA,TAME IMPALA
13,APERTURE,HARRY STYLES
14,I JUST MIGHT,BRUNO MARS
15,THE VISITOR,SIENNA SPIRO
16,JUST THE WAY YOU ARE,MILKY
17,WHITE KEYS,DOMINIC FIKE
18,CLICK CLACK SYMPHONY,RAYE FT HANS ZIMMER
19,OPALITE,TAYLOR SWIFT
20,RAINDANCE,DAVE/TEMS
21,MIDNIGHT SUN,ZARA LARSSON
22,READY STEADY GO,HARRY STYLES
23,ORDINARY,ALEX WARREN
24,WHERE IS MY HUSBAND,RAYE
25,THE HARDEST PART,OLIVIA DEAN
26,PORCH LIGHT,NOAH KAHAN
27,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
28,BODY TO BODY,BTS
29,INTO THE GROOVE,MADONNA
30,THE FATE OF OPHELIA,TAYLOR SWIFT
31,(WHEN YOU GONNA) GIVE IT UP TO ME,SEAN PAUL FT KEYSHIA COLE
32,CHOOSIN' TEXAS,ELLA LANGLEY
33,12 TO 12,SOMBR
34,THE GREAT DIVIDE,NOAH KAHAN
35,THINK ABOUT US,SONNY FODERA/D O D/BASKCOMB
36,DIE ON THIS HILL,SIENNA SPIRO
37,END OF BEGINNING,DJO
38,RISK IT ALL,BRUNO MARS
39,FYA,BTS
40,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
