position,song,artist
1,ORDINARY,ALEX WARREN
2,PINK PONY CLUB,CHAPPELL ROAN
3,AZIZAM,ED SHEERAN
4,ANXIETY,DOECHII
5,BEAUTIFUL THINGS,BENSON BOONE
6,SPORTS CAR,TATE MCRAE
7,BUSY WOMAN,SABRINA CARPENTER
8,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
9,THE GIVER,CHAPPELL ROAN
10,CARAMEL,SLEEP TOKEN
11,CARRY YOU HOME,ALEX WARREN
12,NOKIA,DRAKE
13,BAD DREAMS,TEDDY SWIMS
14,LOVE ME NOT,RAVYN LENAE
15,TWILIGHT ZONE,ARIANA GRANDE
16,NICE TO MEET YOU,MYLES SMITH
17,APT,ROSE & BRUNO MARS
18,MESSY,LOLA YOUNG
19,MUTT,LEON THOMAS
20,REVOLVING DOOR,TATE MCRAE
21,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
22,THAT'S SO TRUE,GRACIE ABRAMS
23,END OF THE WORLD,MILEY CYRUS
24,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
25,BACK TO FRIENDS,SOMBR
26,TELL ME,SONNY FODERA/DOUGLAS
27,DARK THOUGHTS,LIL TECCA
28,UNDRESSED,SOMBR
29,BURNING DOWN,ALEX WARREN
30,THE DAYS,CHRYSTAL
31,SAY MY NAME,MORGAN SEATREE
32,RUNNING AROUND,ELY OAKS
33,BIRDS OF A FEATHER,BILLIE EILISH
34,JUNO,SABRINA CARPENTER
35,TONIGHT,PINKPANTHERESS
36,HERE IN YOUR ARMS,NATHAN DAWE & ABI FLYNN
37,TASTE,SABRINA CARPENTER
38,GOOD LUCK BABE,CHAPPELL ROAN
39,HOMETOWN GLORY,ADELE
40,LOSE CONTROL,TEDDY SWIMS
