position,song,artist
1,REIN ME IN,SAM FENDER & OLIVIA DEAN
2,JANICE STFU,DRAKE
3,NATIONAL TREASURES,DRAKE
4,BILLIE JEAN,MICHAEL JACKSON
5,DRACULA,TAME IMPALA
6,MAKE THEM CRY,DRAKE
7,GO,CHEMICAL BROTHERS
8,HUMAN NATURE,MICHAEL JACKSON
9,BEAT IT,MICHAEL JACKSON
10,DROP DEAD,OLIVIA RODRIGO
11,FEVER DREAM,ALEX WARREN
12,LUSH LIFE,ZARA LARSSON
13,HOMEWRECKER,SOMBR
14,AMERICAN GIRLS,HARRY STYLES
15,MIDNIGHT SUN,ZARA LARSSON
16,MAN I NEED,OLIVIA DEAN
17,CHOOSIN' TEXAS,ELLA LANGLEY
18,HIT THE WALL,GRACIE ABRAMS
19,JUST THE WAY YOU ARE,MILKY
20,EARRINGS,MALCOLM TODD
21,BANGARANGA,DARA
22,FREE YOUR MIND,PROSPA/CLOONEE
23,MATERIAL LOVER,SIENNA SPIRO
24,ILOVEITILOVEITILOVEIT,BELLA KAY
25,ORDINARY,ALEX WARREN
26,I WANT YOU BACK,JACKSON 5
27,BOSTON,STELLA LEFTY
28,WHERE IS MY HUSBAND,RAYE
29,SO EASY (TO FALL IN LOVE),OLIVIA DEAN
30,THE ONE THAT GOT AWAY,KATY PERRY
31,DOORS,NOAH KAHAN
32,SELF AWARE,TEMPER CITY
33,THE GREAT DIVIDE,NOAH KAHAN
34,TALK TO YOU,ANOTR/54 ULTRA
35,SIGN OF THE TIMES,HARRY STYLES
36,BEAUTY AND A BEAT,JUSTIN BIEBER FT NICKI MINAJ
37,RAINDANCE,DAVE/TEMS
38,THE VISITOR,SIENNA SPIRO
39,GOLDEN,HUNTR/X/EJAE/AUDREY NUNA/REI
40,NICE TO EACH OTHER,OLIVIA DEAN
