position,song,artist
1,ORDINARY,ALEX WARREN
2,PINK PONY CLUB,CHAPPELL ROAN
3,LOVE ME NOT,RAVYN LENAE
4,UNDRESSED,SOMBR
5,SHOW ME LOVE,WIZTHEMC/BEES & HONEY
6,FAMILY MATTERS,SKYE NEWMAN
7,BLESSINGS,CALVIN HARRIS/DOUGLAS
8,AZIZAM,ED SHEERAN
9,BLOODLINE,ALEX WARREN FT JELLY ROLL
10,BEAUTIFUL THINGS,BENSON BOONE
11,BACK TO FRIENDS,SOMBR
12,CARRY YOU HOME,ALEX WARREN
13,SHAKE IT TO THE MAX (FLY),MOLIY & SILENT ADDY
14,NICE TO MEET YOU,MYLES SMITH
15,BAD DREAMS,TEDDY SWIMS
16,HAIRDRESSER,SKYE NEWMAN
17,REVOLVING DOOR,TATE MCRAE
18,MYSTICAL MAGICAL,BENSON BOONE
19,CAN'T DECIDE,MAX DEAN/LOCKY/LUKE DEAN
20,PARTY 4 U,CHARLI XCX
21,STEVE'S LAVA CHICKEN,JACK BLACK
22,ONE THING,LOLA YOUNG
23,NOKIA,DRAKE
24,MESSY,LOLA YOUNG
25,SORRY I'M HERE FOR SOMEONE ELSE,BENSON BOONE
26,OLD PHONE,ED SHEERAN
27,APT,ROSE & BRUNO MARS
28,TELL ME,SONNY FODERA/DOUGLAS
29,SAY MY NAME,MORGAN SEATREE
30,WHAT I WANT,MORGAN WALLEN/TATE MCRAE
31,CLICHE,MGK
32,GOLD,MYLES SMITH
33,SPORTS CAR,TATE MCRAE
34,BIRDS OF A FEATHER,BILLIE EILISH
35,WHAT WAS THAT,LORDE
36,THE DAYS,CHRYSTAL
37,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
38,THAT'S SO TRUE,GRACIE ABRAMS
39,GOOD LUCK BABE,CHAPPELL ROAN
40,TIMELESS,WEEKND/PLAYBOI CARTI
